	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
0	2008-03-03	47,078,123	2,844,630,007	60.1	60.7	60.0	60.7	-0.90	7,401	2008-03-03	60.7	60.1	60.7	0.6000000000000014
1	2008-03-04	75,215,589	4,673,129,972	60.1	63.0	60.1	62.9	+2.20	11,948	2008-03-04	62.9	60.1	62.9	2.799999999999997
2	2008-03-05	70,208,395	4,444,122,185	63.5	63.5	62.5	63.3	+0.40	14,804	2008-03-05	63.3	63.5	63.3	-0.20000000000000284
3	2008-03-06	64,665,074	4,152,706,441	63.5	64.9	63.5	64.9	+1.60	15,999	2008-03-06	64.9	63.5	64.9	1.4000000000000057
4	2008-03-07	53,049,638	3,382,686,613	63.6	64.5	63.3	64.0	-0.90	10,009	2008-03-07	64.0	63.6	64.0	0.3999999999999986
5	2008-03-10	59,861,047	3,689,678,519	62.9	62.9	61.0	61.2	-2.80	13,585	2008-03-10	61.2	62.9	61.2	-1.6999999999999957
6	2008-03-11	43,343,416	2,668,261,921	60.6	62.4	60.6	62.4	+1.20	9,493	2008-03-11	62.4	60.6	62.4	1.7999999999999972
7	2008-03-12	46,949,300	2,997,447,772	64.0	64.2	63.1	63.8	+1.40	10,338	2008-03-12	63.8	64.0	63.8	-0.20000000000000284
8	2008-03-13	42,306,578	2,640,224,636	62.7	63.5	61.5	62.0	-1.80	9,398	2008-03-13	62.0	62.7	62.0	-0.7000000000000028
9	2008-03-14	45,819,799	2,812,825,469	62.5	62.6	60.6	61.1	-0.90	9,074	2008-03-14	61.1	62.5	61.1	-1.3999999999999986
10	2008-03-17	90,229,016	5,407,295,715	60.0	60.3	59.5	59.9	-1.20	13,115	2008-03-17	59.9	60.0	59.9	-0.10000000000000142
11	2008-03-18	47,526,998	2,849,744,531	59.9	60.6	59.5	59.9	 0.00	7,163	2008-03-18	59.9	59.9	59.9	0.0
12	2008-03-19	43,275,461	2,670,677,255	61.5	62.1	60.8	62.1	+2.20	9,294	2008-03-19	62.1	61.5	62.1	0.6000000000000014
13	2008-03-20	54,424,140	3,361,761,906	61.7	62.9	61.0	62.6	+0.50	10,364	2008-03-20	62.6	61.7	62.6	0.8999999999999986
14	2008-03-21	102,433,922	6,597,901,872	63.6	64.9	63.6	64.8	+2.20	24,908	2008-03-21	64.8	63.6	64.8	1.1999999999999957
15	2008-03-24	130,571,901	8,927,207,558	69.3	69.3	67.3	67.4	+2.60	22,680	2008-03-24	67.4	69.3	67.4	-1.8999999999999915
16	2008-03-25	88,061,828	5,896,424,160	67.4	67.4	66.4	67.2	-0.20	12,603	2008-03-25	67.2	67.4	67.2	-0.20000000000000284
17	2008-03-26	54,420,649	3,604,524,183	65.8	67.0	65.5	67.0	-0.20	10,389	2008-03-26	67.0	65.8	67.0	1.2000000000000028
18	2008-03-27	54,821,122	3,519,554,790	65.0	65.1	63.6	63.8	-3.20	12,688	2008-03-27	63.8	65.0	63.8	-1.2000000000000028
19	2008-03-28	109,945,902	6,872,707,830	62.2	63.3	62.0	62.3	-1.50	18,720	2008-03-28	62.3	62.2	62.3	0.09999999999999432
20	2008-03-31	74,468,792	4,614,612,980	61.7	63.1	61.1	63.1	+0.80	11,884	2008-03-31	63.1	61.7	63.1	1.3999999999999986
21	2008-04-01	49,055,009	3,080,408,158	62.5	63.5	61.8	61.8	-1.30	9,705	2008-04-01	61.8	62.5	61.8	-0.7000000000000028
22	2008-04-02	63,875,500	4,100,480,686	63.5	65.0	63.1	64.0	+2.20	15,246	2008-04-02	64.0	63.5	64.0	0.5
23	2008-04-03	28,587,729	1,843,283,913	64.0	64.9	63.9	64.4	+0.40	6,750	2008-04-03	64.4	64.0	64.4	0.4000000000000057
24	2008-04-07	45,908,495	2,979,284,874	64.3	65.1	64.2	65.0	+0.60	7,921	2008-04-07	65.0	64.3	65.0	0.7000000000000028
25	2008-04-08	42,269,940	2,719,968,588	64.6	65.0	63.6	64.4	-0.60	5,259	2008-04-08	64.4	64.6	64.4	-0.19999999999998863
26	2008-04-09	42,859,959	2,727,137,832	63.0	64.5	62.8	63.1	-1.30	8,987	2008-04-09	63.1	63.0	63.1	0.10000000000000142
27	2008-04-10	47,626,244	3,079,954,858	63.2	65.3	63.1	64.5	+1.40	11,260	2008-04-10	64.5	63.2	64.5	1.2999999999999972
28	2008-04-11	37,041,773	2,371,008,833	64.3	64.6	63.5	64.1	-0.40	7,895	2008-04-11	64.1	64.3	64.1	-0.20000000000000284
29	2008-04-14	36,204,398	2,288,582,374	63.3	63.6	63.0	63.0	-1.10	8,659	2008-04-14	63.0	63.3	63.0	-0.29999999999999716
30	2008-04-15	38,174,948	2,408,607,924	63.0	63.8	62.8	63.0	 0.00	7,851	2008-04-15	63.0	63.0	63.0	0.0
31	2008-04-16	46,623,618	3,014,229,770	64.0	65.2	63.7	65.2	+2.20	13,327	2008-04-16	65.2	64.0	65.2	1.2000000000000028
32	2008-04-17	101,937,055	6,838,226,462	67.1	67.5	66.6	67.1	+1.90	22,143	2008-04-17	67.1	67.1	67.1	0.0
33	2008-04-18	33,794,729	2,248,276,804	66.8	66.8	66.0	66.8	-0.30	6,657	2008-04-18	66.8	66.8	66.8	0.0
34	2008-04-21	39,126,138	2,635,041,960	66.8	67.5	66.8	67.4	+0.60	9,361	2008-04-21	67.4	66.8	67.4	0.6000000000000085
35	2008-04-22	38,313,293	2,568,755,131	67.3	67.3	66.6	67.3	-0.10	7,083	2008-04-22	67.3	67.3	67.3	0.0
36	2008-04-23	71,084,627	4,629,820,836	66.0	66.0	64.6	64.6	-2.70	15,904	2008-04-23	64.6	66.0	64.6	-1.4000000000000057
37	2008-04-24	63,781,614	4,077,362,955	64.4	64.5	63.5	63.9	-0.70	15,876	2008-04-24	63.9	64.4	63.9	-0.5000000000000071
38	2008-04-25	47,933,553	3,093,233,225	64.0	64.9	64.0	64.7	+0.80	8,523	2008-04-25	64.7	64.0	64.7	0.7000000000000028
39	2008-04-28	75,601,277	4,942,208,169	64.0	66.5	63.5	66.5	+1.80	14,158	2008-04-28	66.5	64.0	66.5	2.5
40	2008-04-29	54,316,184	3,581,835,817	66.5	67.0	64.7	64.7	-1.80	11,661	2008-04-29	64.7	66.5	64.7	-1.7999999999999972
41	2008-04-30	78,539,746	5,225,082,518	65.2	67.2	65.2	66.7	+2.00	15,672	2008-04-30	66.7	65.2	66.7	1.5
42	2008-05-02	91,955,620	6,246,745,406	68.0	68.2	67.6	68.0	+1.30	18,374	2008-05-02	68.0	68.0	68.0	0.0
43	2008-05-05	44,634,710	2,996,731,551	68.0	68.1	66.3	67.2	-0.80	7,502	2008-05-05	67.2	68.0	67.2	-0.7999999999999972
44	2008-05-06	33,326,721	2,253,005,953	67.4	68.0	66.8	68.0	+0.80	6,830	2008-05-06	68.0	67.4	68.0	0.5999999999999943
45	2008-05-07	55,060,880	3,766,122,618	68.7	69.0	68.1	68.2	+0.20	9,388	2008-05-07	68.2	68.7	68.2	-0.5
46	2008-05-08	47,242,374	3,158,521,749	68.0	68.0	66.0	67.5	-0.70	8,641	2008-05-08	67.5	68.0	67.5	-0.5
47	2008-05-09	43,011,793	2,870,864,363	67.5	67.7	66.1	66.3	-1.20	6,238	2008-05-09	66.3	67.5	66.3	-1.2000000000000028
48	2008-05-12	36,493,476	2,444,644,798	66.8	67.8	66.1	67.6	+1.30	5,273	2008-05-12	67.6	66.8	67.6	0.7999999999999972
49	2008-05-13	64,228,110	4,395,273,837	68.3	68.9	67.6	68.9	+1.30	13,859	2008-05-13	68.9	68.3	68.9	0.6000000000000085
50	2008-05-14	66,677,409	4,585,015,714	69.0	69.2	68.1	68.6	-0.30	8,830	2008-05-14	68.6	69.0	68.6	-0.4000000000000057
51	2008-05-15	83,929,397	5,734,198,352	68.8	68.9	67.9	68.6	 0.00	8,192	2008-05-15	68.6	68.8	68.6	-0.20000000000000284
52	2008-05-16	96,717,615	6,673,951,976	68.6	69.3	68.6	69.2	+0.60	12,715	2008-05-16	69.2	68.6	69.2	0.6000000000000085
