	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
0	2013-11-01	10,870,454	1,190,799,986	110.5	110.5	108.5	109.5	 0.00	3,795	2013-11-01	109.5	110.5	109.5	-1.0
1	2013-11-04	9,642,456	1,047,704,248	108.0	109.0	108.0	109.0	-0.50	4,622	2013-11-04	109.0	108.0	109.0	1.0
2	2013-11-05	21,861,325	2,348,231,599	108.5	109.0	106.5	106.5	-2.50	6,414	2013-11-05	106.5	108.5	106.5	-2.0
3	2013-11-06	17,440,575	1,865,571,385	106.5	107.5	106.5	107.0	+0.50	7,155	2013-11-06	107.0	106.5	107.0	0.5
4	2013-11-07	15,944,496	1,700,975,572	107.0	107.5	106.0	107.0	 0.00	5,026	2013-11-07	107.0	107.0	107.0	0.0
5	2013-11-08	31,481,367	3,333,228,352	105.0	106.5	105.0	106.0	-1.00	7,421	2013-11-08	106.0	105.0	106.0	1.0
6	2013-11-11	21,491,766	2,253,064,518	105.0	106.0	104.5	104.5	-1.50	8,709	2013-11-11	104.5	105.0	104.5	-0.5
7	2013-11-12	31,992,852	3,363,418,490	106.0	106.0	104.5	105.0	+0.50	6,868	2013-11-12	105.0	106.0	105.0	-1.0
8	2013-11-13	26,708,973	2,772,020,219	105.0	105.0	103.0	103.0	-2.00	8,182	2013-11-13	103.0	105.0	103.0	-2.0
9	2013-11-14	29,933,608	3,113,410,393	104.0	104.5	103.5	103.5	+0.50	7,251	2013-11-14	103.5	104.0	103.5	-0.5
10	2013-11-15	19,904,673	2,068,729,812	103.5	104.5	103.5	104.0	+0.50	5,083	2013-11-15	104.0	103.5	104.0	0.5
11	2013-11-18	25,297,464	2,641,543,756	104.5	105.0	104.0	104.0	 0.00	6,957	2013-11-18	104.0	104.5	104.0	-0.5
12	2013-11-19	34,510,121	3,613,948,121	104.5	105.5	104.0	105.0	+1.00	8,014	2013-11-19	105.0	104.5	105.0	0.5
13	2013-11-20	46,675,350	4,813,555,110	104.0	104.0	102.5	103.0	-2.00	10,990	2013-11-20	103.0	104.0	103.0	-1.0
14	2013-11-21	57,002,648	5,764,943,473	102.0	103.0	100.5	101.0	-2.00	14,431	2013-11-21	101.0	102.0	101.0	-1.0
15	2013-11-22	57,158,109	5,760,006,926	100.0	101.5	100.0	100.0	-1.00	13,182	2013-11-22	100.0	100.0	100.0	0.0
16	2013-11-25	30,949,392	3,142,230,092	101.0	102.5	101.0	101.0	+1.00	7,929	2013-11-25	101.0	101.0	101.0	0.0
17	2013-11-26	47,194,676	4,885,738,532	102.0	105.0	101.5	103.5	+2.50	11,490	2013-11-26	103.5	102.0	103.5	1.5
18	2013-11-27	22,853,577	2,391,973,585	105.0	105.5	104.5	105.0	+1.50	6,528	2013-11-27	105.0	105.0	105.0	0.0
19	2013-11-28	22,995,978	2,413,773,679	105.0	105.5	104.5	105.0	 0.00	6,169	2013-11-28	105.0	105.0	105.0	0.0
20	2013-11-29	34,465,306	3,609,926,445	104.5	105.0	104.0	105.0	 0.00	5,923	2013-11-29	105.0	104.5	105.0	0.5
21	2013-12-02	19,042,556	1,994,578,324	105.0	105.5	104.0	104.5	-0.50	4,418	2013-12-02	104.5	105.0	104.5	-0.5
22	2013-12-03	26,811,219	2,795,162,276	104.0	105.0	103.5	104.0	-0.50	4,779	2013-12-03	104.0	104.0	104.0	0.0
23	2013-12-04	23,630,506	2,477,199,932	103.5	105.5	103.5	105.0	+1.00	5,304	2013-12-04	105.0	103.5	105.0	1.5
24	2013-12-05	25,209,310	2,621,454,740	105.0	105.0	103.5	104.0	-1.00	5,844	2013-12-05	104.0	105.0	104.0	-1.0
25	2013-12-06	25,358,888	2,629,648,379	103.0	104.5	103.0	103.0	-1.00	5,835	2013-12-06	103.0	103.0	103.0	0.0
26	2013-12-09	23,971,547	2,508,093,125	104.0	105.0	104.0	105.0	+2.00	5,324	2013-12-09	105.0	104.0	105.0	1.0
27	2013-12-10	22,935,827	2,395,317,608	104.5	105.0	104.0	104.0	-1.00	4,643	2013-12-10	104.0	104.5	104.0	-0.5
28	2013-12-11	24,614,282	2,572,981,941	103.5	105.0	103.5	105.0	+1.00	7,385	2013-12-11	105.0	103.5	105.0	1.5
29	2013-12-12	18,536,758	1,918,939,414	104.5	104.5	103.0	103.0	-2.00	5,445	2013-12-12	103.0	104.5	103.0	-1.5
30	2013-12-13	28,297,055	2,910,409,165	102.5	103.5	102.5	102.5	-0.50	7,034	2013-12-13	102.5	102.5	102.5	0.0
31	2013-12-16	18,772,079	1,920,338,558	102.5	103.0	102.0	102.0	-0.50	6,032	2013-12-16	102.0	102.5	102.0	-0.5
32	2013-12-17	26,232,839	2,719,517,917	103.0	104.5	103.0	103.5	+1.50	6,356	2013-12-17	103.5	103.0	103.5	0.5
33	2013-12-18	66,102,080	6,714,534,840	102.5	103.0	101.0	101.0	-2.50	15,072	2013-12-18	101.0	102.5	101.0	-1.5
34	2013-12-19	27,824,774	2,839,659,307	102.0	103.0	101.5	102.5	+1.50	6,192	2013-12-19	102.5	102.0	102.5	0.5
35	2013-12-20	37,618,688	3,848,115,676	101.5	103.5	101.5	102.0	-0.50	8,353	2013-12-20	102.0	101.5	102.0	0.5
36	2013-12-23	28,393,645	2,950,613,229	103.0	104.5	103.0	104.0	+2.00	6,994	2013-12-23	104.0	103.0	104.0	1.0
37	2013-12-24	14,079,188	1,454,251,243	104.0	104.0	103.0	103.0	-1.00	3,724	2013-12-24	103.0	104.0	103.0	-1.0
38	2013-12-25	9,789,067	1,008,674,401	102.5	103.5	102.5	103.0	 0.00	2,848	2013-12-25	103.0	102.5	103.0	0.5
39	2013-12-26	6,793,911	704,185,262	103.0	104.0	103.0	104.0	+1.00	1,135	2013-12-26	104.0	103.0	104.0	1.0
40	2013-12-27	24,135,217	2,507,210,568	103.5	104.5	103.0	104.5	+0.50	5,626	2013-12-27	104.5	103.5	104.5	1.0
41	2013-12-30	44,280,098	4,659,244,781	104.0	106.0	104.0	106.0	+1.50	10,564	2013-12-30	106.0	104.0	106.0	2.0
42	2013-12-31	24,484,653	2,582,678,065	105.5	106.0	105.0	105.5	-0.50	6,632	2013-12-31	105.5	105.5	105.5	0.0
43	2014-01-02	15,133,724	1,578,860,796	105.0	105.5	103.5	104.5	-1.00	4,136	2014-01-02	104.5	105.0	104.5	-0.5
44	2014-01-03	41,160,529	4,220,062,918	103.0	103.0	102.0	102.5	-2.00	8,524	2014-01-03	102.5	103.0	102.5	-0.5
45	2014-01-06	23,729,719	2,432,745,661	102.0	103.0	102.0	102.5	 0.00	4,874	2014-01-06	102.5	102.0	102.5	0.5
46	2014-01-07	18,803,694	1,907,188,388	102.5	103.0	102.0	102.0	-0.50	5,529	2014-01-07	102.0	102.5	102.0	-0.5
